Lender Number,Lender Loan Number,Delinquent Flag,Account Number,Tax Year,Year For,Billing Type,Real Property Value,Total Personal Value,Principal Due (xxxxxxxx.xx),Interest Due,Cost Due,Total Due
     ,                 , ,1,2016,2016,0,71507,0,728.51,0,0,728.51
     ,                 , ,3,2016,2016,0,743027,0,7569.96,0,0,7569.96
     ,                 , ,4,2016,2016,0,511102,0,5207.11,0,0,5207.11
     ,                 , ,5,2016,2016,0,665842,0,6783.6,0,0,6783.6
     ,                 , ,17,2016,2016,0,324920,0,3797.66,0,0,3797.66
     ,                 , ,18,2016,2016,0,869057,0,8853.96,0,0,8853.96
     ,                 , ,19,2016,2016,0,159264,0,1642.58,0,0,1642.58
     ,                 , ,20,2016,2016,0,121236,0,1255.15,0,0,1255.15
     ,                 , ,21,2016,2016,0,162583,0,1676.39,0,0,1676.39
     ,                 , ,22,2016,2016,0,117666,0,1416.1,0,0,1416.1
     ,                 , ,23,2016,2016,0,218813,0,2269.26,0,0,2269.26
     ,                 , ,24,2016,2016,0,90000,0,916.92,0,0,916.92
     ,                 , ,25,2016,2016,0,425370,0,0,0,0,0
     ,                 , ,26,2016,2016,0,103778,0,742.82,0,0,742.82
     ,                 , ,30,2016,2016,0,403958,0,4135.53,0,0,4135.53
     ,                 , ,31,2016,2016,0,383687,0,3929,0,0,3929
     ,                 , ,32,2016,2016,0,37800,0,263.28,0,0,263.28
     ,                 , ,33,2016,2016,0,266879,0,0,0,0,0
     ,                 , ,34,2016,2016,0,179129,0,1844.97,0,0,1844.97
     ,                 , ,35,2016,2016,0,877817,0,8963.2,0,0,8963.2
     ,                 , ,36,2016,2016,0,334520,0,1838.71,0,0,1838.71
     ,                 , ,37,2016,2016,0,448798,0,4592.35,0,0,4592.35
     ,                 , ,38,2016,2016,0,379325,0,3884.57,0,0,3884.57
     ,                 , ,39,2016,2016,0,249836,0,2565.33,0,0,2565.33
     ,                 , ,40,2016,2016,0,259450,0,2653.28,0,0,2653.28
     ,                 , ,41,2016,2016,0,356008,0,1259.79,0,0,1259.79
     ,                 , ,42,2016,2016,0,343851,0,3523.16,0,0,3523.16
     ,                 , ,43,2016,2016,0,292441,0,2999.39,0,0,2999.39
     ,                 , ,44,2016,2016,0,139010,0,1341.3,0,0,1341.3
     ,                 , ,45,2016,2016,0,533347,0,0,0,0,0
     ,                 , ,46,2016,2016,0,270748,0,2593.46,0,0,2593.46
     ,                 , ,47,2016,2016,0,158216,0,1523.85,0,0,1523.85
     ,                 , ,48,2016,2016,0,140665,0,1473.07,0,0,1473.07
     ,                 , ,49,2016,2016,0,130657,0,930.03,0,0,930.03
     ,                 ,Y,50,2015,2015,0,297260,0,2064.47,149.67,2.75,2216.89
     ,                 , ,50,2016,2016,0,320121,0,2249.65,0,0,2249.65
     ,                 , ,51,2016,2016,0,110657,0,790.73,0,0,790.73
     ,                 , ,52,2016,2016,0,157052,0,1642.35,0,0,1642.35
     ,                 , ,53,2016,2016,0,229633,0,2359.5,0,0,2359.5
     ,                 , ,58,2016,2016,0,646484,0,6606.38,0,0,6606.38
     ,                 , ,59,2016,2016,0,109881,0,1139.47,0,0,1139.47
     ,                 , ,60,2016,2016,0,705451,0,7207.13,0,0,7207.13
     ,                 , ,61,2016,2016,0,304591,0,3123.17,0,0,3123.17
     ,                 , ,62,2016,2016,0,186627,0,1921.36,0,0,1921.36
     ,                 , ,63,2016,2016,0,208399,0,2143.17,0,0,2143.17
     ,                 , ,64,2016,2016,0,641955,0,6560.24,0,0,6560.24
     ,                 , ,66,2016,2016,0,183471,0,1889.2,0,0,1889.2
     ,                 , ,67,2016,2016,0,201056,0,1931.04,0,0,1931.04
     ,                 , ,68,2016,2016,0,88301,0,0,0,0,0
     ,                 , ,69,2016,2016,0,72486,0,524.87,0,0,524.87
     ,                 , ,70,2016,2016,0,164753,0,1886.65,0,0,1886.65
